iteration,max_eval_mean_return,min_eval_std_return,max_success_rate,max_eval_mean_distance,min_eval_std_distance,min_eval_mean_cost,min_eval_std_cost
561.00,-90.04,171.09,0.00,0.00,0.00,0.73,2.20
3836.00,-96.13,181.07,0.00,0.80,1.83,0.52,1.26
7675.00,41.48,141.90,0.00,12.40,13.11,5.00,15.00
12008.00,327.43,390.22,0.10,54.80,58.00,13.40,28.03
14120.00,748.75,654.83,0.30,92.00,75.25,16.10,21.13
17059.00,872.06,609.70,0.30,107.80,66.97,17.34,16.92
18214.00,831.59,730.50,0.30,98.80,77.26,9.18,14.03
20940.00,915.82,529.22,0.30,122.40,61.69,24.30,21.78
23781.00,1059.99,603.17,0.40,129.60,65.96,14.69,16.07
25832.00,1224.12,542.64,0.60,156.80,64.73,10.76,12.45
33548.00,1063.77,590.22,0.60,143.40,62.62,10.20,11.95
39837.00,1127.38,536.01,0.70,153.80,58.44,19.10,24.25
54676.00,1285.10,330.63,0.90,179.20,31.74,26.00,30.65
60772.00,1429.87,344.06,0.90,180.20,30.07,17.82,17.14
81239.00,1427.51,417.19,0.90,174.60,45.54,35.17,29.42
85795.00,1582.68,189.98,0.90,187.20,7.76,23.97,19.19
93846.00,1437.87,314.16,0.90,183.60,18.54,23.70,30.52
129287.00,1433.25,324.88,0.90,179.00,35.01,14.90,21.44
144204.00,1478.40,172.65,1.00,190.00,0.89,18.70,17.56
180190.00,1504.43,209.20,1.00,189.80,0.60,17.30,15.52
223948.00,1481.01,164.72,1.00,189.60,1.20,18.50,19.39
317570.00,1548.54,207.20,1.00,190.00,2.19,12.10,15.22
320682.00,1436.36,166.55,1.00,190.20,1.08,36.40,39.45
333053.00,1594.16,154.28,1.00,189.60,1.20,29.70,40.22
386022.00,1563.97,142.35,1.00,190.20,0.60,27.20,43.60
406417.00,1344.79,257.43,0.90,190.20,1.08,37.60,62.42
415500.00,1227.93,373.57,0.90,179.20,32.41,17.80,19.04
428704.00,1325.69,349.35,0.90,173.40,47.19,19.21,13.16
432787.00,1285.08,465.82,0.90,171.20,56.41,13.66,22.24
438993.00,1273.08,482.78,0.90,171.80,55.94,13.73,14.40
442846.00,1402.85,395.11,0.80,172.00,43.52,17.44,15.94
444636.00,1333.54,443.87,0.90,173.80,49.29,18.00,17.80
451742.00,1386.28,152.57,1.00,189.40,1.28,9.80,12.26
488752.00,1480.56,188.14,1.00,190.40,0.80,26.90,30.71
490947.00,1483.75,217.74,1.00,188.80,2.56,32.00,26.61
