iteration,max_eval_mean_return,min_eval_std_return,max_success_rate,max_eval_mean_distance,min_eval_std_distance,min_eval_mean_cost,min_eval_std_cost
628.00,-28.21,12.22,0.00,0.20,0.60,6.94,7.27
6757.00,176.36,473.52,0.00,21.00,52.42,5.50,14.88
7078.00,177.54,261.50,0.00,33.20,46.15,12.11,15.26
10520.00,1035.56,622.11,0.50,129.40,69.47,2.42,7.26
13746.00,1183.66,498.88,0.70,155.20,64.87,0.11,0.32
82938.00,1181.73,348.60,0.70,163.80,41.01,1.40,4.21
92205.00,1193.73,515.45,0.70,153.20,65.52,5.22,11.33
95821.00,1195.09,615.40,0.70,147.60,68.60,3.31,9.61
98991.00,1349.47,374.83,0.90,175.20,45.74,1.90,5.70
114077.00,1490.74,296.44,0.90,185.60,12.58,0.00,0.00
213304.00,1382.47,448.95,0.90,173.40,50.47,3.19,9.58
284318.00,1318.44,384.07,0.90,176.20,42.75,4.26,12.78
310053.00,1296.87,227.70,0.80,177.00,29.10,0.54,1.31
314099.00,1174.23,543.07,0.80,155.80,69.65,5.44,13.07
367396.00,1202.61,356.76,0.80,170.60,42.67,0.51,1.02
393218.00,1181.72,511.57,0.80,158.60,62.63,2.67,6.86
413138.00,1154.80,501.39,0.80,159.40,62.67,3.64,7.64
474987.00,1302.12,302.76,0.90,176.20,42.08,1.41,4.22
