iteration,max_eval_mean_return,min_eval_std_return,max_success_rate,max_eval_mean_distance,min_eval_std_distance,min_eval_mean_cost,min_eval_std_cost
953.00,-9.10,20.25,0.00,0.00,0.00,5.00,15.00
5144.00,8.81,55.74,0.00,7.20,14.59,0.00,0.00
7299.00,-1.00,136.87,0.00,7.40,19.58,0.56,1.67
8129.00,134.14,239.07,0.00,28.60,38.67,0.00,0.00
10487.00,179.86,416.28,0.00,32.60,47.81,5.00,15.00
11957.00,327.07,472.96,0.10,45.40,54.21,6.67,11.63
13485.00,283.66,198.04,0.00,51.00,36.76,5.00,15.00
15586.00,412.51,278.71,0.00,66.00,40.25,13.77,19.59
16385.00,488.99,417.71,0.00,73.00,61.42,16.07,22.00
25136.00,532.58,365.97,0.10,80.80,52.67,0.00,0.00
26271.00,627.81,471.77,0.20,103.00,56.82,8.78,15.85
27530.00,728.64,455.76,0.30,102.20,70.82,11.07,15.50
33750.00,888.27,481.26,0.20,128.20,57.06,12.13,19.30
36606.00,1117.03,397.88,0.50,157.80,38.05,10.00,20.00
39711.00,839.97,566.18,0.50,118.60,75.88,14.15,18.68
47284.00,884.81,597.74,0.40,119.00,73.73,6.69,8.67
49453.00,906.77,526.96,0.50,131.80,63.03,8.79,16.48
53066.00,837.15,469.09,0.50,124.80,73.21,7.62,11.91
59229.00,1051.50,486.11,0.60,141.80,62.66,6.32,12.09
60108.00,1042.97,519.22,0.60,144.60,72.96,4.94,10.91
72066.00,929.76,625.52,0.60,122.40,83.25,5.84,8.19
73679.00,1130.41,435.36,0.80,159.00,62.52,4.98,10.17
78120.00,1254.32,360.20,0.80,169.20,42.64,1.39,4.16
83760.00,1311.80,265.10,0.70,171.60,32.26,7.75,13.14
88111.00,1024.23,522.96,0.70,148.20,68.93,2.19,6.56
104386.00,1153.07,476.00,0.70,151.60,62.56,11.31,17.35
109791.00,1308.49,400.12,0.80,166.40,51.50,3.92,8.47
114539.00,1289.24,333.12,0.90,175.60,45.21,1.59,4.77
150748.00,1281.43,369.52,0.90,175.20,46.41,3.10,9.31
